Model	Params	Recall	RR@10	QPS	SearchSecMedian	IndexSec	PeakRSSGB	Threads
GrassRMA	M=32 efC=200 ef=10	0.6867621776504298	0.8256446991404012	114077.00806375765	0.06118673796299845	929.0218729590415	12.637287139892578	64
GrassRMA	M=32 efC=200 ef=20	0.7923925501432665	0.8878223495702006	81726.07151943211	0.08540726196952164	929.0218729590415	12.652320861816406	64
GrassRMA	M=32 efC=200 ef=50	0.8788825214899714	0.9435530085959886	46932.28877384567	0.14872490096604452	929.0218729590415	12.680191040039062	64
GrassRMA	M=32 efC=200 ef=100	0.9184527220630373	0.9702005730659026	28530.566450159135	0.24464989197440445	929.0218729590415	12.708061218261719	64
GrassRMA	M=32 efC=200 ef=200	0.9441547277936962	0.9846704871060172	16409.51896544167	0.4253628649748862	929.0218729590415	12.734321594238281	64
GrassRMA	M=32 efC=200 ef=400	0.9609885386819484	0.9929799426934097	9040.213169597006	0.7721056870068423	929.0218729590415	12.740943908691406	64
GrassRMA	M=32 efC=200 ef=800	0.9711318051575931	0.9978510028653295	4822.181557583662	1.4474776440183632	929.0218729590415	12.773807525634766	64
GrassRMA	M=32 efC=200 ef=1600	0.9792406876790831	0.9994269340974212	2532.8201492660132	2.7558214119635522	929.0218729590415	12.797218322753906	64
GrassRMA	M=32 efC=200 ef=3200	0.9847277936962751	0.9998567335243553	1326.180571698831	5.2632349990308285	929.0218729590415	12.80181884765625	64
GrassRMA	M=32 efC=200 ef=6400	0.9890544412607449	0.9998567335243553	694.996054898863	10.043222477019299	929.0218729590415	12.828231811523438	64
GrassRMA	M=32 efC=200 ef=12800	0.9918481375358166	1.0	368.04116500817975	18.96526982204523	929.0218729590415	12.861026763916016	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=1.0	0.0	0.0	521945.1773990068	0.013373052002862096	7.588701912027318	27.66930389404297	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=0.9	0.007091690544412607	0.013467048710601719	466322.21677112655	0.014968190982472152	7.588701912027318	27.66930389404297	64
PyANNS	graph=msmarco_full_R32_L800 ef=80 budget=0.9	0.01674785100286533	0.031232091690544413	396542.06178733497	0.017602168023586273	2495.6648207139806	38.37903594970703	64
PyANNS	graph=base_full ef=80 budget=0.9	0.018094555873925503	0.032234957020057305	386052.70343232056	0.018080432899296284	7.7608147989958525	27.667465209960938	64
PyANNS	graph=msmarco_full_R32_L400 ef=80 budget=0.9	0.021017191977077365	0.03796561604584527	385015.7175749742	0.0181291300104931	1406.046294759959	38.3782958984375	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=0.8	0.0430945558739255	0.07478510028653296	308240.114854507	0.02264468400971964	7.588701912027318	27.66930389404297	64
PyANNS	graph=msmarco_full_R32_L800 ef=80 budget=0.8	0.09293696275071633	0.16131805157593124	194709.84534976576	0.03584821295225993	2495.6648207139806	38.37903594970703	64
PyANNS	graph=base_full ef=80 budget=0.8	0.09484240687679082	0.16404011461318052	189966.79737047415	0.03674326301552355	7.7608147989958525	27.667465209960938	64
PyANNS	graph=msmarco_full_R32_L400 ef=80 budget=0.8	0.1010028653295129	0.17507163323782235	186467.81163816716	0.037432734039612114	1406.046294759959	38.3782958984375	64
PyANNS	graph=msmarco_full_R32_L400 ef=150 budget=0.8	0.14202005730659026	0.22664756446991405	109019.15295352237	0.06402544700540602	1406.046294759959	38.3802490234375	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=0.5	0.5319484240687679	0.6391117478510029	79830.2766972661	0.08743549801874906	7.588701912027318	27.66930389404297	64
PyANNS	graph=msmarco_full_R32_L400 ef=80 budget=0.5	0.6299283667621777	0.7467048710601719	67242.3822078551	0.10380357998656109	1406.046294759959	38.3782958984375	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=0.3	0.7554154727793696	0.835243553008596	66717.32595297102	0.10462050000205636	7.588701912027318	27.66930389404297	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=0.2	0.8221776504297994	0.8965616045845273	65620.70522118922	0.10636886599240825	7.588701912027318	27.66930389404297	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=0.15	0.841160458452722	0.9156160458452722	64491.76536585512	0.10823087196331471	7.588701912027318	27.66930389404297	64
PyANNS	graph=msmarco_full_R32_L200 ef=80 budget=0.1	0.8535100286532952	0.9287965616045846	62225.48853403966	0.11217268300242722	7.588701912027318	27.66930389404297	64
